glottocode, langauges
bant1281,Bantawa [en],Bantawa language [en],Bantawaish [gv],Bantaweg [br]
bata1301,Batak [en]
bava1246,Austro-Bavarian language [en],Baiersch [nds],Bairisch [gsw],Bairische Dialekte [de],Bairisk [nn],Bavara lingvo [eo],Bavares [lmo],Bavarian [en],Bavariera [eu],Bavarois [fr],Bavarès [ca],Bayerska [sv],Beiers [nl],Beiers-Oosterieks [li],Beierse taal [af],Boarisch [bar],Idioma austro-bávaro [es],Język bawarski [pl],Lingua Bavarica [la],Lingua bavarese [it],Lingua bávara [gl],Lèngoa bavareise [lij],Língua bávara [pt],O-thi-li Pâ-vî-li-â-ngî [hak],Yezhoù aostriek-bavarek [br],Австро-баварски езици [bg],Баварский диалект [ru],バイエルン・オーストリア語 [ja],奥地利-巴伐利亚语 [zh]
beng1280,Bahasa Bengali [id],Bangla [bs],Banglaeg [br],Banla simi [qu],Bengaals [nl],Bengala lingvo [eo],Bengalce [tr],Bengaleg [cy],Bengalek [kw],Bengalera [eu],Bengalgiella [se],Bengali [bcl],Bengali bhasa [hif],Bengali keel [et],Bengali language [en],Bengali leid [sco],Bengali linguo [io],Bengalin [oc],Bengalin kieli [fi],Bengalisc sprǣc [ang],Bengalische Sprache [de],Bengalska [is],Bengalski jezik [sh],Bengalskt mál [fo],Bengalu kalba [lt],Bengalí [an],Bengalî [fr],Bengalšćina [hsb],Bengalščina [sl],Bengalų kalba [lt],Bengáli nyelv [hu],Bengálčina [sk],Bengálština [cs],Bengāļu valoda [lv],Binengali [war],Fiteny bengali [mg],Gjuha bengali [sq],Idioma bengalí [es],Język bengalski [pl],Kibengali [sw],Lengua bengali [lij],Limba bengaleză [ro],Lingua Bengalica [la],Lingua bengalese [it],Lingua bengalí [gl],Língua bengali [pt],Tiếng Bengal [vi],bengali [fr],Μπενγκάλι γλώσσα [el],Бенгайлаг æвзаг [os],Бенгалмудин келн [xal],Бенгалски език [bg],Бенгалски јазик [mk],Бенгалски језик [sr],Бенгальская мова [be],Бенгальский язык [ru],Бенгальська мова [uk],Бэнгальская мова [be],Забони банголӣ [tg],בנגלית [he],بنگالی [pnb],بنگلہ [ur],بينجالى [arz],بېنگال تىلى [ug],زبان بنگالی [fa],لغة بنغالية [ar],ބެންގާލީ [dv],बंगाली भाषा [mr],बांग्ला भाषा [hi],बाङगला [sa],বাংলা ঠার [bpy],বাংলা ভাষা [bn],બંગાળી ભાષા [gu],ବାଂଲା ଭାଷା [or],வங்காள மொழி [ta],బంగ్లా భాష [te],ಬಂಗಾಳಿ [kn],ബംഗാളി [ml],ภาษาเบงกาลี [th],ბენგალური ენა [ka],ベンガル語 [ja],孟加拉語 [gan],孟加拉语 [zh],벵골어 [ko]
beng1280,Bahasa Bengali [id],Bangla [bs],Banglaeg [br],Banla simi [qu],Bengaals [nl],Bengala lingvo [eo],Bengalce [tr],Bengaleg [cy],Bengalek [kw],Bengalera [eu],Bengalgiella [se],Bengali [bcl],Bengali bhasa [hif],Bengali keel [et],Bengali language [en],Bengali leid [sco],Bengali linguo [io],Bengalin [oc],Bengalin kieli [fi],Bengalisc sprǣc [ang],Bengalische Sprache [de],Bengalska [is],Bengalski jezik [sh],Bengalskt mál [fo],Bengalu kalba [lt],Bengalí [an],Bengalî [fr],Bengalšćina [hsb],Bengalščina [sl],Bengalų kalba [lt],Bengáli nyelv [hu],Bengálčina [sk],Bengálština [cs],Bengāļu valoda [lv],Binengali [war],Fiteny bengali [mg],Gjuha bengali [sq],Idioma bengalí [es],Język bengalski [pl],Kibengali [sw],Lengua bengali [lij],Limba bengaleză [ro],Lingua Bengalica [la],Lingua bengalese [it],Lingua bengalí [gl],Língua bengali [pt],Tiếng Bengal [vi],bengali [fr],Μπενγκάλι γλώσσα [el],Бенгайлаг æвзаг [os],Бенгалмудин келн [xal],Бенгалски език [bg],Бенгалски јазик [mk],Бенгалски језик [sr],Бенгальская мова [be],Бенгальский язык [ru],Бенгальська мова [uk],Бэнгальская мова [be],Забони банголӣ [tg],בנגלית [he],بنگالی [pnb],بنگلہ [ur],بينجالى [arz],بېنگال تىلى [ug],زبان بنگالی [fa],لغة بنغالية [ar],ބެންގާލީ [dv],बंगाली भाषा [mr],बांग्ला भाषा [hi],बाङगला [sa],বাংলা ঠার [bpy],বাংলা ভাষা [bn],બંગાળી ભાષા [gu],ବାଂଲା ଭାଷା [or],வங்காள மொழி [ta],బంగ్లా భాష [te],ಬಂಗಾಳಿ [kn],ബംഗാളി [ml],ภาษาเบงกาลี [th],ბენგალური ენა [ka],ベンガル語 [ja],孟加拉語 [gan],孟加拉语 [zh],벵골어 [ko]
bish1244,Bahasa Bishnupur Manipur [ms],Bishnupriya Manipuri [de],Bishnupriya Manipuri language [en],Bishnupriya [en],Bishnupriya manipuri [sv],Biŝnuprija lingvo [eo],Bišnuprija manipuri kalba [lt],Bišnupríja manipurí [sk],Język bisznuprija-manipuri [pl],Lingua Bisnupriya [la],Бишнуприя-манипури [ru],बिष्णुप्रिया मणिपुरी [hi],मणिपुरी भाषा [hi],বিষ্ণুপ্রিয়া মণিপুরী [bpy],বিষ্ণুপ্রিয়া মণিপুরী ভাষা [bn],பிஷ்ணுப்பிரியா மணிப்புரி மொழி [ta],ภาษาพิศนุปริยะ มณีปุรี [th],ビシュヌプリヤ・マニプリ語 [ja],比什奴普萊利亞-曼尼浦爾語 [zh]
nort2976,North Bolivian Quechua [en]
bosn1245,Bahasa Bosnia [id],Basa Bosnia [jv],Bosanski jezik [bs],Bosanščina [sl],Bosenština [cs],Bosnia lingvo [eo],Bosniagiella [se],Bosnian [en],Bosnian kieli [fi],Bosnian language [en],Bosniačtina [sk],Bosnieg [cy],Bosnien [fr],Bosniera [eu],Bosnies [af],Bosniešu valoda [lv],Bosnisch [nl],Bosnische Sprache [de],Bosnisk [no],Bosniska [sv],Bosniu [ast],Bosniya dili [az],Bosnià [ca],Bosnišćina [hsb],Bosnių kalba [lt],Bosnyák nyelv [hu],Boşnakça [tr],Bošnjački jezik [hr],Busna simi [qu],Gjuha boshnjake [sq],Idioma bosnio [es],Język bośniacki [pl],Lenga bosnian-a [pms],Lengua bosniaca [lij],Limba bosniacă [ro],Lingua bosniaca [it],Lingua bosníaca [gl],Lingua busniaca [co],Língua bósnia [pt],Pinulongang Bosniyo [ceb],Wikang Bosniyo [tl],bosniaque [fr],Баснійская мова [be],Басьнійская мова [be],Бо́сньскъ ѩꙁꙑ́къ [cu],Босански јазик [mk],Боснийский язык [ru],Боснійська мова [uk],Бошняшки език [bg],Бошњачки језик [sr],Բոսնիերեն [hy],בוסנית [he],بوسنىيە تىلى [ug],زبان بوسنیایی [fa],لغة بوسنية [ar],ボスニア語 [ja],波斯尼亚语 [zh],보스니아어 [ko]
bret1244,An Bhriotáinis [ga],Bahasa Breton [id],Breatannais [gd],Bretainiera [eu],Bretoens [li],Breton [en],Breton dili [az],Breton language [en],Breton leid [sco],Breton nyelv [hu],Bretona lingvo [eo],Bretonagiella [se],Bretonca [tr],Bretonek [kw],Bretoni [fi],Bretonisch [bar],Bretonische Sprache [de],Bretonisk [stq],Bretons [af],Bretonsk [da],Bretonsk språk [nn],Bretonska [sv],Bretonski jezik [hr],Bretonština [cs],Bretonšćina [hsb],Bretonščina [sl],Bretonų kalba [lt],Bretoņu valoda [lv],Brettonish [ksh],Bretun [lmo],Bretó [ca],Bretón [ast],Bretónska [is],Bretónčina [sk],Brezhoneg [br],Britaanish [gv],Britun simi [qu],Burton [wa],Gjuha bretoneze [sq],Idioma bretón [an],Język bretoński [pl],Lenga breton-a [pms],Lenghe bretone [fur],Lengua bretone [lij],Limba bretonă [ro],Lingua Armoricana [la],Lingua bretoa [gl],Lingua bretona [rm],Lingua bretone [it],Lingua brètuni [scn],Llydaweg [cy],Luenga bretona [ext],Língua bretã [pt],breton [fr],Łéngoa brètona [vec],Бретонски език [bg],Бретонски јазик [mk],Бретонски језик [sr],Бретонский язык [ru],Бретонська мова [uk],Бретонь чĕлхи [cv],ברטונית [he],برېتون تىلى [ug],ภาษาเบรอตง [th],ბრეტონული ენა [ka],ブルトン語 [ja],布列塔尼语 [zh],브르타뉴어 [ko]
bugi1244,Bahasa Bugis [id],Basa Bugis [jv],Bougieg [br],Bugin kieli [fi],Buginees [nl],Buginese [en],Buginese language [en],Buginesische Sprache [de],Buginesisk [no],Buginesiska [sv],Bugis [fr],Bugui [ca],Idioma buginés [es],Język bugijski [pl],bugi [fr],Бугийский язык [ru],बुगिनी भाषा [hi],ภาษาบูกิส [th],ᨅᨗᨌᨑ ᨕᨘᨁᨗ [bug],ブギス語 [ja]
bukh1238,Bouc&#39;horeg [br],Buhori dili [tr],Bukharic [en],Bukhori language [en],Język bucharski [pl],Língua Bukhori [pt],Еврейско-таджикский диалект [ru],گویش بخارائی [fa],ภาษาบูโครี [th],ブハラ語 [ja]
nucl1310,Bahasa Burma [ms],Bahasa Myanmar [id],Barmština [cs],Birma keel [et],Birma lingvo [eo],Birmaans [nl],Birman [fr],Birmanische Sprache [de],Birmanisk [stq],Birmanu simi [qu],Birmà [ca],Burmaca [tr],Burmai nyelv [hu],Burman kieli [fi],Burmeg [br],Burmese [en],Burmese language [en],Burmesisk [no],Burmesisk språk [nn],Burmesiska [sv],Búrmíska [is],Idioma birmano [es],Język birmański [pl],Lingua Birmanica [la],Lingua birmana [it],Língua birmanesa [pt],Mjanmų kalba [lt],Tiếng Myanma [vi],birman [fr],Бирмански език [bg],Бирманский язык [ru],Бірманська мова [uk],بورمى [arz],بىرما تىلى [ug],زبان برمه‌ای [fa],बर्मी भाषा [hi],बर्मेली भाषा [new],বর্মী ঠার [bpy],বর্মী ভাষা [bn],ภาษาพม่า [th],འབར་མའི་སྐད། [bo],မြန်မာဘာသာစကား [my],ბირმული ენა [ka],ビルマ語 [ja],缅甸语 [zh],버마어 [ko]
neap1235,Bahasa Napolitan [id],Idioma napolitano [es],Idioma napolitán [an],Język neapolitański [pl],Lengua napoletann-a [lij],Lengua napulitana [nap],Lingua Neapolitana [la],Lingua napoletana [it],Lingua napolitana [gl],Lingua napulitana [scn],Luenga napolitana [ext],Língua napolitana [pt],Naaplish [gv],Napola lingvo [eo],Napolice [tr],Napoliera [eu],Napolitaans [af],Napolitain [fr],Napolitansk [da],Napolitansk-kalabresisk språk [nn],Napolitansko-kalabrijski jezik [hr],Napolità [ca],Napulitano [bar],Neapoliečių kalba [lt],Neapolitan [en],Neapolitan language [en],Neapolitan tili [crh],Neapolitanisch [de],Neapolitanska [sv],Neapolčina-kalábrijčina [sk],Neapolština [cs],Nápolyi nyelv [hu],napolitain [fr],Наполитански језик [sr],Неаполитанаг æвзаг [os],Неаполитански език [bg],Неаполитанский язык [ru],Нэапалітанская мова [be],נפוליטנית [he],نېئاپول تىلى [ug],ნეაპოლური ენა [ka],ナポリ語 [ja],那不勒斯语 [zh],나폴리어 [ko]
neap1235,Bahasa Napolitan [id],Idioma napolitano [es],Idioma napolitán [an],Język neapolitański [pl],Lengua napoletann-a [lij],Lengua napulitana [nap],Lingua Neapolitana [la],Lingua napoletana [it],Lingua napolitana [gl],Lingua napulitana [scn],Luenga napolitana [ext],Língua napolitana [pt],Naaplish [gv],Napola lingvo [eo],Napolice [tr],Napoliera [eu],Napolitaans [af],Napolitain [fr],Napolitansk [da],Napolitansk-kalabresisk språk [nn],Napolitansko-kalabrijski jezik [hr],Napolità [ca],Napulitano [bar],Neapoliečių kalba [lt],Neapolitan [en],Neapolitan language [en],Neapolitan tili [crh],Neapolitanisch [de],Neapolitanska [sv],Neapolčina-kalábrijčina [sk],Neapolština [cs],Nápolyi nyelv [hu],napolitain [fr],Наполитански језик [sr],Неаполитанаг æвзаг [os],Неаполитански език [bg],Неаполитанский язык [ru],Нэапалітанская мова [be],נפוליטנית [he],نېئاپول تىلى [ug],ნეაპოლური ენა [ka],ナポリ語 [ja],那不勒斯语 [zh],나폴리어 [ko]
yuec1235,Yue Chinese [en]
cari1275,Caribbean Hindustani [en]
cebu1242,Bahasa Cebuano [id],Cebua lingvo [eo],Cebuano [de],Cebuano language [en],Cebuera [eu],Cebun kieli [fi],Cebuà [ca],Idioma cebuano [es],Język cebuański [pl],Lengua cebuann-a [lij],Lingua Caebuana [la],Lingua cebuana [gl],Língua cebuana [pt],Pagsasao a Cebuano [ilo],Salitan Cebuano [pag],Sebuanų kalba [lt],Sebúanó [is],Sinugboanon [ceb],Siwuyanu simi [qu],Sougbouaneg [br],Tataramon na Cebuano [bcl],Wikang Sebwano [tl],cebuano [fr],Себуано језик [sr],Себуанский язык [ru],سيبونى [arz],सेबुआनो भाषा [new],সেবুয়ানো ভাষা [bn],ภาษาซีบัวโน [th],სებუანური ენა [ka],セブアノ語 [ja],宿霧語 [zh],세부아노어 [ko]
chan1310,Chantyal [en],Chantyal language [en],Chantyalish [gv],ภาษาชันเตียล [th]
chav1241,Chabacano [br],Chabacano nyelv [hu],Chavacano [cbk],Chavacano language [en],Chavacano-ngî [hak],Idioma chabacano [es],Język chavacano [pl],Lingua chavacan [ia],Lingua zamboangueña [it],Língua chavacana [pt],Pinulongang Tsabakano [ceb],Tataramon na Zamboangueño [bcl],Wikang Zamboangueño [tl],Чабакано [ru],ภาษาชาวากาโน [th],チャバカノ語 [ja],차바카노어 [ko]
haka1240,Haka Chin [en],Hakha-Chin language [en],হাকা চিন ভাষা [bn]
copt1239,An Choptais [ga],Basa Koptik [jv],Copte [fr],Copteg [cy],Coptic [en],Coptic language [en],Idioma copto [an],Język koptyjski [pl],Kopt dili [az],Kopt nyelv [hu],Kopta [mg],Kopties [af],Koptiko [eu],Koptin kieli [fi],Koptisch [gsw],Koptische Sprache [de],Koptisk [da],Koptisk språk [nn],Koptiska [sv],Koptitongo [srn],Koptski jezik [hr],Koptíska [is],Koptština [cs],Koptų kalba [lt],Lingua Coptica [la],Lingua copta [gl],Língua copta [pt],copte [fr],Κοπτική γλώσσα [el],Коптски език [bg],Коптский язык [ru],Коптська мова [uk],קופטית [he],لغة قبطية [ar],لغه قبطى [arz],კოპტური ენა [ka],コプト・エジプト語 [ja],科普特语 [zh],콥트어 [ko]
croa1245,An Chróitis [ga],Bahasa Croatia [ms],Bahasa Kroasia [id],Basa Kroasia [jv],Chorvatština [cs],Chorvátčina [sk],Chorwatska rěc [dsb],Chorwatšćina [hsb],Chòrwacczi jãzëk [csb],Croat [ca],Croata [ast],Croatais [gd],Croate [fr],Croateg [cy],Croatian [en],Croatian language [en],Croatie leid [sco],Croato [frp],Gagana Croatian [sm],Gjuha kroate [sq],Horvaadi keel [et],Horvát nyelv [hu],Horvātu valoda [lv],Hrvatski jezik [bs],Hrvaščina [sl],Hurwat simi [qu],Hırvatça [tr],Idioma croata [es],Isi-Croatia [zu],Język chorwacki [pl],Kroaatsch [nds],Kroata lingvo [eo],Kroateg [br],Kroatek [kw],Kroatian kieli [fi],Kroaties [af],Kroatisch [nl],Kroatische Sprache [de],Kroatisk [no],Kroatisk språk [nn],Kroatiska [sv],Kroatų kalba [lt],Kroaziera [eu],Krowodische Sproch [bar],Kroátiagiella [se],Króatíska [is],Lengua croata [lij],Limba croată [ro],Lingua croata [gl],Lingua cruata [co],Língua croata [pt],Pinulongang Krowata [ceb],Xorvat dili [az],Xırwatki [diq],croate [fr],Łéngua croata [vec],Забони хорватӣ [tg],Харвацкая мова [be],Хорват йылме [mhr],Хорват хэл [mn],Хорват чĕлхи [cv],Хорватаг æвзаг [os],Хорватский язык [ru],Хорватська мова [uk],Хрватски јазик [mk],Хрватски језик [sr],Хръва́тьскъ ѩꙁꙑ́къ [cu],Хърватски език [bg],Խորվաթերեն [hy],קראאטיש [yi],קרואטית [he],زبان کروواتی [fa],كرودىيە تىلى [ug],لغة كرواتية [ar],क्रोएशियन भाषा [hi],ক্রোয়েশীয় ভাষা [bn],ภาษาโครเอเชีย [th],ხორვატული ენა [ka],クロアチア語 [ja],克罗地亚语 [zh],크로아티아어 [ko]

czec1258,An tSeicis [ga],Bahasa Ceska [id],Bahasa Czech [ms],Basa Céko [jv],Bæmisc sprǣc [ang],Checu [ast],Chekek [kw],Chekiana linguo [io],Chex tili [uz],Chiku simi [qu],Chèc [oc],Cseh nyelv [hu],Czech [en],Czech language [en],Czech leid [sco],Czesczi jãzëk [csb],Czesko godka [szl],Gjuha çeke [sq],Idioma checo [an],Język czeski [pl],Kekkiskt mál [fo],Kicheki [sw],Lenga ceca [pms],Lenghe ceche [fur],Lengua ceca [lij],Limba cehă [ro],Lingua Bohemica [la],Lingua ceca [co],Lingua chec [ia],Lingua checa [gl],Lingua tscheca [rm],Língua tcheca [pt],Seacais [gd],Sheckish [gv],Tcheke [wa],Tchekeg [br],Tch·èco [frp],Tchèque [fr],Tiếng Séc [vi],Tjeckiska [sv],Tjekkisk [da],Tschechische Sprache [de],Tschechische Språch [bar],Tsieceg [cy],Tsjechies [nds],Tsjechisch [li],Tsjechysk [fy],Tsjeggies [af],Tsjekkisk [no],Tsjekkisk språk [nn],Txec [ca],Txekiera [eu],Tékkneska [is],Tšehhi keel [et],Tšekin kieli [fi],Zimanê çekî [ku],tchèque [fr],Çekçe [tr],Çex dili [az],Èdè Tsẹ́kì [yo],Ĉeĥa lingvo [eo],Čeahkagiella [se],Čehu valoda [lv],Čeku kalba [lt],Čekų kalba [lt],Česka rěc [dsb],Česko-gí [nan],Češki jezik [bs],Čeština [cs],Češčina [sl],Čěšćina [hsb],Τσεχική γλώσσα [el],Забони чехӣ [tg],Чеська мова [uk],Чех йылме [mhr],Чех чĕлхи [cv],Чехаг æвзаг [os],Чехонь кяль [mdf],Чешки език [bg],Чешки јазик [mk],Чешки језик [sr],Чешский язык [ru],Чэская мова [be],Чэшская мова [be],Чє́шьскъ ѩꙁꙑ́къ [cu],Չեխերեն [hy],טשעכיש [yi],צ&#39;כית [he],تشيكى [arz],زبان چکی [fa],لغة تشيكية [ar],چېخ تىلى [ug],चेक भाषा [mr],চেক ভাষা [bn],செக் மொழி [ta],ಚೆಕ್ ಭಾಷೆ [kn],ภาษาเช็ก [th],ჩეხური ენა [ka],チェコ語 [ja],捷克语 [zh],체코어 [ko]
dari1249,Afghan Persian [en],Dari [en]
dolp1239,Dolpo [en]
dutc1256,Algemêen Nederlands [vls],An Ollainnis [ga],Bahasa Belanda [id],Bakratongo [srn],Basa Landa [jv],Duitsis [gd],Dutch [en],Dutch language [en],Dutch leid [sco],Felemenk tili [crh],Felemenkçe [tr],Flemenki [diq],Flemish [en],Gjuha holandeze [sq],Holandski jezik [bs],Holandčina [sk],Holland nyelv [hu],Hollandi keel [et],Hollannin kieli [fi],Hollenska [is],Hollánddagiella [se],Holländische Sproch [bar],Hò-làn-ngî [hak],Idioma hulandes [pap],Idioma neerlandés [an],Inolandes [ceb],Iseldireg [cy],Iseldiryek [kw],IsiHolandi [zu],Język niderlandzki [pl],Kiholanzi [sw],Kē-tē-gí [nan],Lenga neerlandèisa [pms],Lengua olandeise [lij],Lifalamá [ln],Limba olandeză [ro],Lingua Batava [la],Lingua Olandesa [lad],Lingua nederlandese [ia],Lingua neerlandesa [gl],Lingua neerlandese [co],Lingua olandese [it],Lingua ollandaisa [rm],Lingua ulannisa [scn],Língua neerlandesa [pt],Nedderlandsche Spraak [nds],Nederlaands [nds],Nederlanda lingvo [eo],Nederlandana linguo [io],Nederlandeg [br],Nederlandera [eu],Nederlands [af],Nederlandsk [da],Nederlandsk språk [nn],Nederlandum [nov],Nederlânsk [fy],Nederländska [sv],Neederländėsch [ksh],Neerlandès [ca],Neerlandés [ast],Neyerlandès [wa],Niderland dili [az],Niederlaendische Schprooch [pdc],Niederloundisk [stq],Niederländisch [gsw],Niederländische Sprache [de],Nirlindé [pcd],Nizozemski jezik [hr],Nizozemština [cs],Nizozemščina [sl],Niðerlandisc sprǣc [ang],Nižozemšćina [hsb],Néerlandais [fr],Nêrlandês [frp],Nīderlandiešu valoda [lv],Olandų kalba [lt],Ollanish [gv],Se-dutch [st],Tiếng Hà Lan [vi],Urasuyu simi [qu],Wikang Olandes [tl],Zimanê holandî [ku],flamand [fr],néerlandais [fr],Łéngua ołandexe [vec],Ολλανδική γλώσσα [el],Галандская мова [be],Голандонь кяль [mdf],Голланд чĕлхи [cv],Нидерланд йылме [mhr],Нидерланд теле [tt],Нидерландаг æвзаг [os],Нидерландски език [bg],Нидерландский язык [ru],Нідерландська мова [uk],Нідэрляндзкая мова [be],Холандски јазик [mk],Холандски језик [sr],Հոլանդերեն [hy],האלענדיש [yi],הולנדית [he],زبان هلندی [fa],لغة هولندية [ar],گوللاندىيە تىلى [ug],ޑަޗު [dv],डच भाषा [hi],ওলন্দাজ ভাষা [bn],டச்சு மொழி [ta],ഡച്ച് ഭാഷ [ml],ภาษาดัตช์ [th],འཇར་མན་སྐད། [bo],ნიდერლანდური ენა [ka],オランダ語 [ja],荷蘭話 [yue],荷蘭語 [zh],네덜란드어 [ko]
dzon1239,Bahasa Dzongkha [id],Bahasa Jongkha [ms],Botijų kalba [lt],Boutaneg [br],Buotėju kalba [lt],Butaanish [gv],Dzongka [tr],Dzongke [lv],Dzongkha [de],Dzongkha keel [et],Dzongkha language [en],Dzongkhan kieli [fi],Dzongkä [cs],Dzonka lingvo [eo],Dzonkha simi [qu],Lingua Dzongkha [la],Lingua dzongkha [it],Língua butanesa [pt],dzongkha [fr],Ѕонгка јазик [mk],Џонгка језик [sr],Дзонг-кэ [ru],Дзонгкха [bg],Дзонґ-ке [uk],Ձոնգքհա [hy],דזונגקה [he],जोंगखा [hi],ஜொங்கா மொழி [ta],ภาษาซองคา [th],འབྲུག་པའི་སྐད། [bo],རྫོང་ཁ་ [dz],ゾンカ語 [ja],宗喀語 [zh],종카어 [ko]
egyp1253,Araba egipteană [ro],Arabe echipcio [an],Arabe égyptien [fr],Arabeg Egipt [br],Bahasa Arab Mesir [ms],Basa Arab Mesir [jv],Dialekt egipski języka arabskiego [pl],Egipatski arapski [hr],Egipto arabų kalba [lt],Egyptian Arabic [en],Egyptisk arabiska [sv],Árabe egipcio [es],Árabe egípcio [pt],Ägyptisch-Arabisch [de],Египетски арабски език [bg],Египетски арапски јазик [mk],ערבית מצרית [he],اللغه المصريه الحديثه [arz],لهجة مصرية [ar],アラビア語エジプト方言 [ja],이집트 구어체 아랍어 [ko]
friu1240,Bahasa Friuli [id],Bahasa Friulia [ms],Ffriŵleg [cy],Frioels [li],Friolan [oc],Frioulan [fr],Friouleg [br],Friulaans [af],Friuli nyelv [hu],Friulian [en],Friulian language [en],Friuliera [eu],Friulin kieli [fi],Friulisch [nl],Friulisk [da],Friuliska [sv],Friulski jezik [hr],Friulu valoda [lv],Friulčina [sk],Friúl [ast],Friülès [ca],Furlan [gv],Furlanek [kw],Furlanische Sprache [bar],Furlanština [cs],Furlanščina [sl],Furlańsko godka [szl],Fut-liù-li-ngî [hak],Fôrlan [wa],Idioma friulano [es],Idioma friulán [an],Język friulski [pl],Lenghe furlane [fur],Lengua friulana [lij],Limba friuliană [ro],Lingua Foroiuliensis [la],Lingua friulana [co],Lingua furlana [rm],Língua friulana [pt],Zimanê fûrlanî [ku],frioulan [fr],Фриулски език [bg],Фриульский язык [ru],Фрыульская мова [be],Фурлански језик [sr],Ֆրիուլիերեն [hy],פורלן [he],ፍሪዩልያን [am],フリウリ語 [ja],弗留利语 [zh]
friu1240,Bahasa Friuli [id],Bahasa Friulia [ms],Ffriŵleg [cy],Frioels [li],Friolan [oc],Frioulan [fr],Friouleg [br],Friulaans [af],Friuli nyelv [hu],Friulian [en],Friulian language [en],Friuliera [eu],Friulin kieli [fi],Friulisch [nl],Friulisk [da],Friuliska [sv],Friulski jezik [hr],Friulu valoda [lv],Friulčina [sk],Friúl [ast],Friülès [ca],Furlan [gv],Furlanek [kw],Furlanische Sprache [bar],Furlanština [cs],Furlanščina [sl],Furlańsko godka [szl],Fut-liù-li-ngî [hak],Fôrlan [wa],Idioma friulano [es],Idioma friulán [an],Język friulski [pl],Lenghe furlane [fur],Lengua friulana [lij],Limba friuliană [ro],Lingua Foroiuliensis [la],Lingua friulana [co],Lingua furlana [rm],Língua friulana [pt],Zimanê fûrlanî [ku],frioulan [fr],Фриулски език [bg],Фриульский язык [ru],Фрыульская мова [be],Фурлански језик [sr],Ֆրիուլիերեն [hy],פורלן [he],ፍሪዩልያን [am],フリウリ語 [ja],弗留利语 [zh]
