Id2,Total,Speak only English,Spanish or Spanish Creole,"French (incl. Patois, Cajun)",French Creole,Italian,Portuguese or Portuguese Creole,German,Yiddish,Other West Germanic Languages,Scandinavian Languages,Greek,Russian,Polish,Serbo-Croatian,Other Slavic Languages,Armenian,Persian,Gujarati,Hindi,Urdu,Other Indic Languages,Other Indo-European Languages,Chinese,Japanese,Korean,"Mon-Khmer, Cambodian",Hmong,Thai,Laotian,Vietnamese,Other Asian Languages,Tagalog,Other Pacific Island Languages,Navajo,Other Native North American Languages,Hungarian,Arabic,Hebrew,African Languages,Other and Unspecified Languages
36081011000,3398,1820,848,5,21,13,0,0,0,0,0,0,0,10,0,0,0,0,0,108,81,331,0,51,0,0,0,0,0,0,0,97,13,0,0,0,0,0,0,0,0
36081011100,3157,1626,558,13,0,48,36,0,0,0,0,360,0,0,0,0,0,9,0,0,0,225,29,14,57,0,0,0,0,0,0,142,0,8,0,0,0,7,25,0,0
36081011200,2035,918,401,0,19,46,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,92,0,0,0,0,0,0,0,42,67,0,0,0,0,0,0,0,0
36081011300,4156,1561,777,88,0,96,23,24,0,0,0,533,28,35,52,44,0,0,0,7,32,360,107,97,50,0,0,0,0,0,20,53,57,22,0,0,7,83,0,0,0
36081011400,953,448,410,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,19,0
36081011500,2278,943,408,35,0,48,18,33,0,0,0,259,0,0,54,28,0,0,0,0,211,0,0,35,51,0,0,0,11,47,0,66,3,0,0,0,0,0,28,0,0
36081011600,2177,1104,589,0,0,21,0,35,0,10,0,36,0,0,0,0,0,0,0,55,22,187,48,41,0,0,0,0,0,0,0,0,21,0,0,0,0,8,0,0,0
36081011700,3502,1605,514,15,0,167,0,8,3,0,0,521,0,7,59,9,0,8,11,0,0,165,50,47,8,43,0,0,82,0,0,32,38,0,0,0,0,110,0,0,0
36081011800,2508,974,633,0,7,10,0,0,0,6,0,0,32,0,0,0,0,0,0,65,11,562,128,0,0,0,18,0,0,0,0,62,0,0,0,0,0,0,0,0,0
36081011900,1587,730,310,0,0,116,17,0,0,0,0,158,6,2,16,4,0,0,0,0,0,29,10,56,13,0,0,0,17,0,0,0,0,4,0,0,21,78,0,0,0
36081012000,2351,350,466,4,0,0,0,0,0,4,0,0,0,0,0,5,0,31,0,104,0,1235,4,64,0,0,0,0,0,0,0,0,74,0,0,0,0,10,0,0,0
36081012100,2116,1101,247,0,0,107,11,11,0,0,0,195,0,8,24,14,43,0,0,0,0,154,103,0,0,0,0,0,0,0,28,2,0,0,0,0,0,68,0,0,0
36081012200,3423,1344,1069,0,11,3,14,15,0,0,0,0,4,24,0,0,0,0,0,145,199,556,0,14,0,0,0,0,0,0,0,0,13,0,0,0,0,12,0,0,0
36081012301,2613,1483,298,29,0,113,0,25,0,0,0,386,0,0,8,0,8,0,0,0,0,0,76,20,0,0,0,0,33,0,0,0,56,20,0,0,0,58,0,0,0
36081012400,2850,1012,1177,0,60,0,0,0,0,19,0,0,86,0,0,0,0,34,14,86,9,131,33,38,0,0,0,0,17,0,0,0,92,0,0,0,0,37,0,5,0
36081012500,1723,580,484,16,0,42,5,0,0,0,0,267,10,0,11,16,0,0,0,6,0,26,118,6,0,0,0,0,0,0,0,22,83,3,0,0,4,17,7,0,0
36081012601,2566,812,1371,0,30,0,0,0,0,0,0,0,0,17,0,15,0,0,0,36,23,143,11,61,0,0,0,0,6,0,0,0,35,0,0,0,0,0,0,6,0
36081012602,2530,985,1171,9,0,15,7,5,0,0,0,0,5,13,0,0,0,0,0,55,112,76,8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081012800,2054,935,839,5,0,0,0,0,0,0,0,6,29,42,0,5,0,0,0,0,0,143,0,12,0,0,0,0,0,0,0,0,26,12,0,0,0,0,0,0,0
36081013000,1587,839,410,0,1,5,0,0,0,0,0,0,42,13,0,0,0,0,0,0,4,93,52,0,0,0,0,0,0,0,0,0,48,16,0,0,0,35,29,0,0
36081013200,2187,1097,618,1,5,15,0,34,0,0,0,0,84,0,0,27,0,0,0,20,27,108,6,0,24,8,0,0,0,0,0,0,0,0,0,0,0,0,100,0,13
36081013400,5472,2528,886,62,61,49,0,13,0,0,0,31,648,101,0,0,0,22,0,163,346,0,66,141,45,0,0,0,0,0,0,11,32,0,0,0,153,68,0,46,0
36081013500,1649,836,151,19,0,130,24,8,0,0,0,255,0,0,10,21,0,0,0,0,0,0,30,18,10,23,0,0,0,0,0,26,0,0,0,0,11,71,6,0,0
36081013600,1947,1053,401,38,10,0,0,5,15,0,0,0,76,36,4,0,30,10,0,9,12,37,99,62,5,0,0,0,0,0,0,0,16,0,0,0,0,20,9,0,0
36081013700,1700,679,243,12,0,39,0,0,0,0,0,242,11,29,14,74,0,0,10,0,0,56,69,47,0,4,0,0,0,0,0,23,0,0,0,0,0,127,10,0,11
36081013800,3227,1063,678,12,0,0,0,65,0,0,0,0,218,83,0,0,0,63,17,83,387,427,21,18,0,0,0,0,0,0,0,18,15,17,0,0,27,0,0,15,0
36081014000,3466,1892,554,0,83,75,0,0,30,0,0,0,117,120,53,0,0,31,0,90,36,10,105,100,10,0,0,0,0,0,0,32,34,0,0,0,0,70,24,0,0
36081014100,1621,578,417,17,0,70,11,0,0,0,0,48,9,0,26,38,0,34,0,16,74,65,78,22,17,0,6,0,0,0,0,11,9,0,0,0,0,75,0,0,0
36081014201,4079,1828,1450,0,38,0,0,0,0,11,0,0,0,0,0,0,0,0,0,150,171,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081014202,2537,1062,864,7,25,18,0,0,6,5,0,0,5,0,0,0,0,0,0,37,29,324,10,24,9,49,0,0,0,0,0,0,0,14,0,0,0,49,0,0,0
36081014300,3892,1416,908,6,9,130,92,0,0,0,0,204,27,21,90,43,0,0,0,15,34,373,35,70,25,30,0,0,0,0,0,0,64,0,0,0,14,286,0,0,0
36081014400,1917,580,714,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,41,140,384,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
36081014500,2228,985,347,139,0,70,46,0,0,0,0,124,26,0,83,21,0,0,0,10,0,51,82,24,6,0,0,0,17,0,0,14,0,0,0,0,13,170,0,0,0
36081014700,3202,1509,623,29,0,232,41,71,0,0,0,202,0,33,164,17,0,0,0,0,0,48,9,122,17,0,0,0,0,0,17,10,0,0,0,0,0,58,0,0,0
36081014800,2152,802,696,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,385,0,0,0,0,0,0,0,0,0,109,37,0,0,0,0,0,0,72,0
36081014900,2318,969,521,22,0,33,35,8,0,0,0,115,19,0,116,69,0,0,8,8,0,46,106,9,13,0,0,0,0,0,0,59,52,0,0,0,0,66,44,0,0
36081015000,2805,1438,597,6,6,5,0,0,0,0,0,0,6,0,0,0,0,0,0,81,9,593,0,12,0,0,0,0,0,0,0,0,45,0,0,0,0,7,0,0,0
36081015100,2657,1309,296,98,0,70,187,0,0,0,0,75,0,9,220,12,0,0,0,0,57,54,31,144,10,34,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
36081015200,2667,1517,462,0,0,21,0,0,0,56,0,0,0,0,0,0,0,0,4,121,56,355,7,0,0,0,0,0,0,0,26,28,0,0,0,0,0,0,0,14,0
36081015300,2086,754,383,37,0,38,92,0,0,0,0,46,15,23,52,21,0,29,0,30,57,65,88,46,63,15,0,0,38,0,16,88,8,6,0,0,20,43,7,6,0
36081015400,2412,1327,471,0,13,1,0,0,0,15,0,7,0,0,0,0,0,0,0,209,50,282,10,10,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36081015500,2253,1022,423,4,0,68,23,10,0,0,0,90,0,0,129,48,4,0,0,29,49,126,43,41,22,63,0,0,0,0,0,30,0,0,0,0,6,23,0,0,0
36081015600,2878,1727,323,0,41,8,0,0,0,11,0,0,13,0,0,0,0,0,0,62,96,519,0,34,0,5,0,0,15,0,0,24,0,0,0,0,0,0,0,0,0
36081015700,1371,411,242,13,0,5,57,12,0,8,5,21,0,0,0,22,0,0,0,0,24,224,52,54,18,3,0,0,0,0,0,56,6,6,0,0,0,127,5,0,0
36081015801,3370,2610,426,64,8,0,0,0,0,33,0,8,10,0,0,0,0,0,0,9,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081015802,4527,3396,905,0,0,0,0,8,0,0,0,0,0,0,0,19,0,0,0,79,0,81,0,21,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
36081015900,3855,1379,705,0,0,128,100,26,0,0,0,129,78,144,296,65,0,13,0,123,23,281,17,52,35,21,0,0,32,0,0,63,61,28,0,0,0,9,47,0,0
36081016100,2530,703,1060,16,0,5,54,5,0,0,6,118,33,7,10,11,16,0,0,0,0,95,5,209,50,0,0,0,0,0,0,21,53,0,0,0,16,37,0,0,0
36081016300,3655,1424,1467,61,11,0,0,0,9,0,0,164,21,0,90,10,0,0,0,19,27,21,11,252,0,13,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
36081016400,3433,2945,242,0,21,0,0,0,0,9,0,0,0,0,0,0,0,0,0,33,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
36081016600,3225,1896,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,19,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081016800,3253,2213,809,15,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,21,128,17,13,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
36081016900,5253,2235,1079,119,16,44,28,22,0,0,0,14,11,0,9,0,0,0,0,0,0,891,86,187,84,70,0,0,0,0,0,214,100,3,0,0,0,41,0,0,0
36081017000,2252,1831,270,0,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62
36081017100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081017200,2174,1779,187,29,45,0,20,0,0,0,0,0,0,0,0,0,0,0,6,47,0,12,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081017400,2668,2073,406,42,92,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
36081017600,2366,1948,315,0,19,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
